2022-03-28 21:19:49,811 - root - INFO : batch_size: 1024, learning_rate: 0.50, max_epoch: 5, activator: sigmoid, layer_list: [285, 64, 8, 2]
2022-03-28 21:19:56,237 - root - INFO : loading data...
2022-03-28 21:23:48,656 - root - INFO : loaded!
2022-03-28 21:23:48,658 - root - INFO : initialize!
2022-03-28 21:23:48,658 - root - INFO : start training!
2022-03-28 22:14:47,460 - root - INFO : train: epoch1, idx900: F1:0.72727 accs0.75000
2022-03-28 22:14:47,460 - root - INFO : eval: epoch1, idx900: F1:0.71287 accs0.72813
2022-03-28 22:15:01,973 - root - INFO : train: epoch1, idx1000: F1:0.77273 accs0.79167
2022-03-28 22:15:01,973 - root - INFO : eval: epoch1, idx1000: F1:0.73310 accs0.76562
2022-03-28 22:15:16,716 - root - INFO : train: epoch1, idx1100: F1:0.73267 accs0.71875
2022-03-28 22:15:16,716 - root - INFO : eval: epoch1, idx1100: F1:0.81250 accs0.81250
2022-03-28 22:15:31,262 - root - INFO : train: epoch1, idx1200: F1:0.82692 accs0.81250
2022-03-28 22:15:31,262 - root - INFO : eval: epoch1, idx1200: F1:0.77603 accs0.77812
2022-03-28 22:15:45,668 - root - INFO : train: epoch1, idx1300: F1:0.69663 accs0.71875
2022-03-28 22:15:45,668 - root - INFO : eval: epoch1, idx1300: F1:0.73333 accs0.75000
2022-03-28 22:16:00,616 - root - INFO : train: epoch2, idx0: F1:0.71264 accs0.73958
2022-03-28 22:16:00,616 - root - INFO : eval: epoch2, idx0: F1:0.72964 accs0.74062
2022-03-28 22:16:15,141 - root - INFO : train: epoch2, idx100: F1:0.84783 accs0.85417
2022-03-28 22:16:15,141 - root - INFO : eval: epoch2, idx100: F1:0.73939 accs0.73125
2022-03-28 22:16:28,976 - root - INFO : train: epoch2, idx200: F1:0.71264 accs0.73958
2022-03-28 22:16:28,976 - root - INFO : eval: epoch2, idx200: F1:0.69655 accs0.72500
2022-03-28 22:16:42,859 - root - INFO : train: epoch2, idx300: F1:0.84000 accs0.83333
2022-03-28 22:16:42,859 - root - INFO : eval: epoch2, idx300: F1:0.77670 accs0.78438
2022-03-28 22:16:56,973 - root - INFO : train: epoch2, idx400: F1:0.74725 accs0.76042
2022-03-28 22:16:56,973 - root - INFO : eval: epoch2, idx400: F1:0.79461 accs0.80937
2022-03-28 22:17:10,945 - root - INFO : train: epoch2, idx500: F1:0.79592 accs0.79167
2022-03-28 22:17:10,946 - root - INFO : eval: epoch2, idx500: F1:0.74843 accs0.75000
2022-03-28 22:17:25,437 - root - INFO : train: epoch2, idx600: F1:0.73469 accs0.72917
2022-03-28 22:17:25,437 - root - INFO : eval: epoch2, idx600: F1:0.73750 accs0.73750
2022-03-28 22:17:40,452 - root - INFO : train: epoch2, idx700: F1:0.71795 accs0.77083
2022-03-28 22:17:40,452 - root - INFO : eval: epoch2, idx700: F1:0.75333 accs0.76875
2022-03-28 22:17:55,116 - root - INFO : train: epoch2, idx800: F1:0.75862 accs0.78125
2022-03-28 22:17:55,117 - root - INFO : eval: epoch2, idx800: F1:0.75472 accs0.75625
2022-03-28 22:18:09,858 - root - INFO : train: epoch2, idx900: F1:0.85714 accs0.83333
2022-03-28 22:18:09,859 - root - INFO : eval: epoch2, idx900: F1:0.75229 accs0.74687
2022-03-28 22:18:23,961 - root - INFO : train: epoch2, idx1000: F1:0.70968 accs0.71875
2022-03-28 22:18:23,961 - root - INFO : eval: epoch2, idx1000: F1:0.70103 accs0.72813
2022-03-28 22:18:38,384 - root - INFO : train: epoch2, idx1100: F1:0.70103 accs0.69792
2022-03-28 22:18:38,385 - root - INFO : eval: epoch2, idx1100: F1:0.73529 accs0.71875
2022-03-28 22:18:52,703 - root - INFO : train: epoch2, idx1200: F1:0.82828 accs0.82292
2022-03-28 22:18:52,703 - root - INFO : eval: epoch2, idx1200: F1:0.72727 accs0.75625
2022-03-28 22:19:07,055 - root - INFO : train: epoch2, idx1300: F1:0.73913 accs0.75000
2022-03-28 22:19:07,055 - root - INFO : eval: epoch2, idx1300: F1:0.72093 accs0.77500
2022-03-28 22:19:21,749 - root - INFO : train: epoch3, idx0: F1:0.71910 accs0.73958
2022-03-28 22:19:21,749 - root - INFO : eval: epoch3, idx0: F1:0.75445 accs0.78438
2022-03-28 22:19:36,292 - root - INFO : train: epoch3, idx100: F1:0.76768 accs0.76042
2022-03-28 22:19:36,293 - root - INFO : eval: epoch3, idx100: F1:0.71587 accs0.75938
2022-03-28 22:19:50,956 - root - INFO : train: epoch3, idx200: F1:0.77228 accs0.76042
2022-03-28 22:19:50,956 - root - INFO : eval: epoch3, idx200: F1:0.74026 accs0.75000
2022-03-28 22:20:05,620 - root - INFO : train: epoch3, idx300: F1:0.75294 accs0.78125
2022-03-28 22:20:05,620 - root - INFO : eval: epoch3, idx300: F1:0.70790 accs0.73438
2022-03-28 22:20:19,742 - root - INFO : train: epoch3, idx400: F1:0.76768 accs0.76042
2022-03-28 22:20:19,742 - root - INFO : eval: epoch3, idx400: F1:0.75510 accs0.77500
2022-03-28 22:20:33,489 - root - INFO : train: epoch3, idx500: F1:0.76596 accs0.77083
2022-03-28 22:20:33,489 - root - INFO : eval: epoch3, idx500: F1:0.77778 accs0.78750
2022-03-28 22:20:48,281 - root - INFO : train: epoch3, idx600: F1:0.73913 accs0.75000
2022-03-28 22:20:48,281 - root - INFO : eval: epoch3, idx600: F1:0.74000 accs0.75625
2022-03-28 22:21:02,448 - root - INFO : train: epoch3, idx700: F1:0.80734 accs0.78125
2022-03-28 22:21:02,448 - root - INFO : eval: epoch3, idx700: F1:0.71613 accs0.72500
2022-03-28 22:21:17,188 - root - INFO : train: epoch3, idx800: F1:0.82000 accs0.81250
2022-03-28 22:21:17,188 - root - INFO : eval: epoch3, idx800: F1:0.71613 accs0.72500
2022-03-28 22:21:31,447 - root - INFO : train: epoch3, idx900: F1:0.81250 accs0.81250
2022-03-28 22:21:31,447 - root - INFO : eval: epoch3, idx900: F1:0.68942 accs0.71562
2022-03-28 22:21:45,394 - root - INFO : train: epoch3, idx1000: F1:0.82456 accs0.79167
2022-03-28 22:21:45,394 - root - INFO : eval: epoch3, idx1000: F1:0.76398 accs0.76250
2022-03-28 22:22:00,284 - root - INFO : train: epoch3, idx1100: F1:0.72340 accs0.72917
2022-03-28 22:22:00,284 - root - INFO : eval: epoch3, idx1100: F1:0.72727 accs0.74687
2022-03-28 22:22:14,403 - root - INFO : train: epoch3, idx1200: F1:0.70886 accs0.76042
2022-03-28 22:22:14,403 - root - INFO : eval: epoch3, idx1200: F1:0.76877 accs0.75938
2022-03-28 22:22:27,957 - root - INFO : train: epoch3, idx1300: F1:0.67391 accs0.68750
2022-03-28 22:22:27,957 - root - INFO : eval: epoch3, idx1300: F1:0.72054 accs0.74062
2022-03-28 22:22:41,439 - root - INFO : train: epoch4, idx0: F1:0.76768 accs0.76042
2022-03-28 22:22:41,439 - root - INFO : eval: epoch4, idx0: F1:0.74924 accs0.74062
2022-03-28 22:22:55,563 - root - INFO : train: epoch4, idx100: F1:0.69136 accs0.73958
2022-03-28 22:22:55,563 - root - INFO : eval: epoch4, idx100: F1:0.76774 accs0.77500
2022-03-28 22:23:10,034 - root - INFO : train: epoch4, idx200: F1:0.73973 accs0.80208
2022-03-28 22:23:10,034 - root - INFO : eval: epoch4, idx200: F1:0.73540 accs0.75938
2022-03-28 22:23:24,387 - root - INFO : train: epoch4, idx300: F1:0.80000 accs0.80208
2022-03-28 22:23:24,387 - root - INFO : eval: epoch4, idx300: F1:0.77246 accs0.76250
2022-03-28 22:23:38,261 - root - INFO : train: epoch4, idx400: F1:0.70886 accs0.76042
2022-03-28 22:23:38,261 - root - INFO : eval: epoch4, idx400: F1:0.76871 accs0.78750
2022-03-28 22:23:52,202 - root - INFO : train: epoch4, idx500: F1:0.76404 accs0.78125
2022-03-28 22:23:52,202 - root - INFO : eval: epoch4, idx500: F1:0.72910 accs0.74687
2022-03-28 22:24:05,820 - root - INFO : train: epoch4, idx600: F1:0.73913 accs0.75000
2022-03-28 22:24:05,820 - root - INFO : eval: epoch4, idx600: F1:0.73649 accs0.75625
2022-03-28 22:24:19,404 - root - INFO : train: epoch4, idx700: F1:0.81667 accs0.77083
2022-03-28 22:24:19,404 - root - INFO : eval: epoch4, idx700: F1:0.73410 accs0.71250
2022-03-28 22:24:34,107 - root - INFO : train: epoch4, idx800: F1:0.75676 accs0.81250
2022-03-28 22:24:34,107 - root - INFO : eval: epoch4, idx800: F1:0.73356 accs0.75938
2022-03-28 22:24:47,908 - root - INFO : train: epoch4, idx900: F1:0.80000 accs0.81250
2022-03-28 22:24:47,908 - root - INFO : eval: epoch4, idx900: F1:0.76721 accs0.77812
2022-03-28 22:25:01,984 - root - INFO : train: epoch4, idx1000: F1:0.73077 accs0.70833
2022-03-28 22:25:01,984 - root - INFO : eval: epoch4, idx1000: F1:0.74843 accs0.75000
2022-03-28 22:25:15,755 - root - INFO : train: epoch4, idx1100: F1:0.82353 accs0.81250
2022-03-28 22:25:15,755 - root - INFO : eval: epoch4, idx1100: F1:0.74434 accs0.75313
2022-03-28 22:25:29,594 - root - INFO : train: epoch4, idx1200: F1:0.74468 accs0.75000
2022-03-28 22:25:29,594 - root - INFO : eval: epoch4, idx1200: F1:0.74150 accs0.76250
2022-03-28 22:25:43,411 - root - INFO : train: epoch4, idx1300: F1:0.67961 accs0.65625
2022-03-28 22:25:43,411 - root - INFO : eval: epoch4, idx1300: F1:0.71225 accs0.68437
